# Luminosity, Color
1.1103e+00,1.3910e+00
1.0329e+00,1.6189e+00
8.3762e-01,1.9318e+00
9.6028e-01,1.6663e+00
1.4032e+00,4.3086e-01
1.2064e+00,1.3050e+00
1.4153e+00,6.8585e-01
1.1927e+00,1.2375e+00
1.3179e+00,1.0282e+00
1.0584e+00,1.5201e+00
1.4349e+00,1.8653e-01
1.1080e+00,1.4622e+00
1.3624e+00,4.8617e-01
8.6859e-01,1.8122e+00
1.2909e+00,1.1634e+00
1.3207e+00,8.4045e-01
1.0427e+00,1.4796e+00
1.0062e+00,1.6108e+00
1.4863e+00,1.9492e-01
1.2804e+00,1.2125e+00
1.4031e+00,5.4105e-01
1.1887e+00,1.2775e+00
1.0474e+00,1.6441e+00
1.2672e+00,1.0090e+00
1.0656e+00,1.4286e+00
1.2333e+00,1.0490e+00
9.7432e-01,1.7429e+00
1.0888e+00,1.5034e+00
1.0295e+00,1.6280e+00
1.1763e+00,1.4297e+00
9.0180e-01,1.8370e+00
1.4494e+00,1.6357e-01
1.3917e+00,6.6297e-01
1.2847e+00,9.4760e-01
1.1850e+00,1.4174e+00
1.2483e+00,1.2227e+00
1.4317e+00,3.4944e-01
1.1522e+00,1.2399e+00
8.9193e-01,1.8390e+00
1.2336e+00,1.3129e+00
1.2851e+00,1.0568e+00
9.4682e-01,1.7870e+00
1.2968e+00,7.4443e-01
1.2065e+00,1.0754e+00
1.1384e+00,1.4697e+00
8.6115e-01,1.8798e+00
1.1753e+00,1.2302e+00
1.4973e+00,1.1179e-01
1.4622e+00,2.9057e-01
1.2933e+00,7.7700e-01
1.3205e+00,1.0550e+00
1.3627e+00,6.5320e-01
1.3279e+00,6.8950e-01
1.0815e+00,1.4677e+00
1.1911e+00,1.2652e+00
1.4355e+00,2.0172e-01
1.4048e+00,4.9125e-01
1.2186e+00,1.1099e+00
1.2941e+00,1.1557e+00
1.3693e+00,4.3405e-01
1.3888e+00,5.1852e-01
1.3982e+00,5.7722e-01
1.3085e+00,8.1786e-01
1.4262e+00,3.8445e-01
8.9231e-01,1.7600e+00
1.4134e+00,2.8677e-01
1.1830e+00,1.1913e+00
1.0540e+00,1.6301e+00
9.7898e-01,1.7032e+00
1.0684e+00,1.5099e+00
1.3748e+00,5.0590e-01
1.3366e+00,1.0067e+00
1.3923e+00,7.6452e-01
1.1897e+00,1.3409e+00
8.9889e-01,1.7924e+00
8.9639e-01,1.7684e+00
1.3399e+00,9.7489e-01
8.8182e-01,1.8533e+00
1.1368e+00,1.2707e+00
1.2278e+00,1.1287e+00
1.4331e+00,2.0785e-01
1.1665e+00,1.2476e+00
1.2867e+00,9.7022e-01
1.0918e+00,1.4672e+00
1.1646e+00,1.3333e+00
1.1655e+00,1.3987e+00
1.1942e+00,1.3701e+00
1.3247e+00,9.9254e-01
1.1511e+00,1.2745e+00
1.2250e+00,1.3068e+00
1.1427e+00,1.3161e+00
1.2445e+00,9.9829e-01
1.3316e+00,8.6689e-01
1.3612e+00,8.5359e-01
1.3348e+00,7.1474e-01
1.3063e+00,1.1411e+00
1.1870e+00,1.4153e+00
1.3012e+00,8.1578e-01
1.4825e+00,1.5865e-01
1.4127e+00,3.5361e-01
1.4367e+00,3.9659e-01
1.3562e+00,4.6476e-01
9.0210e-01,1.8217e+00
1.4242e+00,4.0164e-01
9.8985e-01,1.6986e+00
1.3995e+00,7.1143e-01
8.1211e-01,1.9772e+00
1.0626e+00,1.5158e+00
1.1385e+00,1.4397e+00
1.3683e+00,7.8852e-01
1.3186e+00,1.0424e+00
1.2298e+00,1.1786e+00
1.4010e+00,6.9477e-01
1.3684e+00,8.2435e-01
1.3281e+00,8.2232e-01
1.1695e+00,1.2597e+00
1.2519e+00,1.0126e+00
1.2757e+00,1.0962e+00
1.3617e+00,9.0148e-01
1.4340e+00,1.8833e-01
9.0994e-01,1.7903e+00
1.0554e+00,1.5019e+00
1.4051e+00,4.4105e-01
1.3286e+00,8.2214e-01
1.0817e+00,1.5420e+00
1.4564e+00,3.4297e-01
1.4214e+00,5.2058e-01
1.2871e+00,7.9681e-01
1.1722e+00,1.2647e+00
1.4852e+00,8.1074e-02
1.0601e+00,1.4585e+00
1.3522e+00,8.3358e-01
1.4055e+00,4.6216e-01
1.1312e+00,1.3789e+00
1.0962e+00,1.4539e+00
1.2447e+00,1.1123e+00
1.4100e+00,3.9736e-01
8.2735e-01,1.9392e+00
1.3759e+00,7.0982e-01
1.1605e+00,1.3879e+00
1.2774e+00,1.2210e+00
1.3842e+00,4.1363e-01
9.7523e-01,1.7445e+00
1.4193e+00,5.5742e-01
1.2452e+00,9.9357e-01
1.2415e+00,1.1850e+00
1.2374e+00,1.1444e+00
1.0364e+00,1.5137e+00
1.4425e+00,3.4120e-01
1.0225e+00,1.5457e+00
1.3806e+00,6.7152e-01
1.3344e+00,6.0773e-01
1.2521e+00,1.0011e+00
7.9016e-01,1.9486e+00
1.4361e+00,2.5553e-01
1.2963e+00,9.3864e-01
1.2163e+00,1.2996e+00
1.2077e+00,1.1711e+00
1.3975e+00,4.8530e-01
1.2630e+00,1.0010e+00
1.0274e+00,1.6624e+00
1.4143e+00,3.8974e-01
1.1943e+00,1.2194e+00
1.3016e+00,9.0280e-01
1.0509e+00,1.6082e+00
1.4791e+00,1.4037e-01
1.5343e+00,1.2842e-02
1.4838e+00,1.7465e-01
1.2510e+00,1.2146e+00
1.2508e+00,1.2508e+00
1.3010e+00,1.0862e+00
1.4215e+00,5.6759e-01
1.0950e+00,1.5090e+00
1.3004e+00,1.0575e+00
1.3211e+00,8.4315e-01
1.4061e+00,6.6698e-01
1.1243e+00,1.5274e+00
1.3414e+00,6.9875e-01
1.4220e+00,6.1294e-01
1.1190e+00,1.4236e+00
1.3060e+00,8.9963e-01
1.3692e+00,6.2018e-01
9.8950e-01,1.6646e+00
9.5240e-01,1.7207e+00
1.3917e+00,6.2677e-01
1.2311e+00,9.9380e-01
1.1873e+00,1.4199e+00
1.0334e+00,1.5422e+00
1.3140e+00,9.0115e-01
1.3758e+00,8.9414e-01
1.3494e+00,7.2353e-01
1.4598e+00,1.7891e-01
1.2971e+00,8.1361e-01
1.3378e+00,9.6624e-01
1.1739e+00,1.2581e+00
1.1468e+00,1.2691e+00
1.3839e+00,7.2602e-01
1.1008e+00,1.4515e+00
8.8120e-01,1.8643e+00
1.3164e+00,1.0666e+00
1.3779e+00,3.6950e-01
9.5169e-01,1.7027e+00
1.3035e+00,9.4648e-01
1.2822e+00,8.8137e-01
1.2130e+00,1.3344e+00
1.2973e+00,1.0782e+00
1.1358e+00,1.3235e+00
1.3769e+00,7.8060e-01
1.0169e+00,1.6471e+00
1.0728e+00,1.6075e+00
1.3181e+00,9.2856e-01
8.0526e-01,1.9049e+00
8.9199e-01,1.8363e+00
1.1964e+00,1.2778e+00
1.2944e+00,1.1249e+00
1.3619e+00,5.5495e-01
1.4254e+00,5.6287e-01
1.2524e+00,1.0152e+00
1.2179e+00,1.0765e+00
1.0264e+00,1.5398e+00
1.3458e+00,5.4375e-01
1.2212e+00,1.2727e+00
9.2135e-01,1.7192e+00
9.0990e-01,1.7652e+00
1.2710e+00,1.2288e+00
1.4108e+00,3.9286e-01
1.3590e+00,5.7731e-01
1.4228e+00,4.7942e-01
1.2648e+00,9.5973e-01
1.1716e+00,1.1898e+00
1.3762e+00,6.0629e-01
1.1994e+00,1.3383e+00
1.3064e+00,7.4255e-01
1.4134e+00,4.8129e-01
1.1694e+00,1.2861e+00
1.5092e+00,3.6316e-02
8.0315e-01,1.9591e+00
1.1707e+00,1.3860e+00
1.0765e+00,1.4369e+00
1.2834e+00,1.0279e+00
9.1460e-01,1.8130e+00
1.3372e+00,5.5611e-01
1.3905e+00,5.6929e-01
1.0765e+00,1.5917e+00
1.3163e+00,1.0791e+00
1.3651e+00,4.4502e-01
1.4060e+00,4.0660e-01
1.4376e+00,1.9187e-01
1.2874e+00,8.0651e-01
1.4464e+00,4.2819e-01
1.4094e+00,3.9327e-01
1.0319e+00,1.6131e+00
1.2279e+00,1.1129e+00
1.1119e+00,1.4019e+00
1.2243e+00,1.2069e+00
1.2889e+00,1.0699e+00
1.4044e+00,4.0163e-01
1.3928e+00,4.6841e-01
1.3533e+00,7.2981e-01
1.3419e+00,7.8894e-01
8.1821e-01,1.9577e+00
9.9340e-01,1.6922e+00
9.4789e-01,1.6693e+00
1.1928e+00,1.1298e+00
9.8264e-01,1.6097e+00
1.4205e+00,2.6398e-01
9.8691e-01,1.7016e+00
1.3163e+00,1.1470e+00
9.9573e-01,1.5942e+00
1.2286e+00,1.0053e+00
1.3895e+00,5.2947e-01
1.1308e+00,1.4664e+00
1.4028e+00,6.3886e-01
9.4861e-01,1.7334e+00
8.5764e-01,1.8813e+00
1.1261e+00,1.5055e+00
8.3971e-01,1.9128e+00
1.4196e+00,5.9376e-01
7.9483e-01,1.9520e+00
1.3735e+00,9.2396e-01
1.4466e+00,2.3701e-01
1.2125e+00,1.3254e+00
1.3278e+00,1.0838e+00
1.1343e+00,1.3290e+00
1.1482e+00,1.4398e+00
9.3284e-01,1.7371e+00
1.0968e+00,1.3847e+00
1.3878e+00,8.0817e-01
1.2928e+00,1.0648e+00
9.0482e-01,1.7315e+00
1.0989e+00,1.5067e+00
7.7186e-01,1.9698e+00
1.3586e+00,5.8513e-01
1.4357e+00,4.5117e-01
1.2731e+00,8.5684e-01
1.0874e+00,1.4712e+00
1.3954e+00,5.1981e-01
7.9799e-01,1.9432e+00
1.1393e+00,1.3790e+00
1.3263e+00,9.1045e-01
1.4427e+00,2.8998e-01
1.4095e+00,2.8636e-01
1.2779e+00,9.6544e-01
8.8742e-01,1.7660e+00
9.4914e-01,1.7264e+00
1.4137e+00,4.6071e-01
1.2360e+00,1.2023e+00
8.3823e-01,1.8614e+00
1.1009e+00,1.5533e+00
1.3530e+00,9.9541e-01
1.3050e+00,7.9827e-01
1.4405e+00,3.3652e-01
1.3735e+00,9.4605e-01
1.2404e+00,1.1046e+00
1.4404e+00,3.0615e-01
9.9341e-01,1.7319e+00
1.2770e+00,9.8603e-01
8.8002e-01,1.8434e+00
1.1017e+00,1.4129e+00
1.2102e+00,1.3790e+00
1.0118e+00,1.5652e+00
1.3463e+00,4.9709e-01
1.3056e+00,8.9430e-01
1.3236e+00,1.0944e+00
1.3651e+00,5.8342e-01
7.4794e-01,1.9927e+00
1.4046e+00,3.5293e-01
1.1752e+00,1.1790e+00
1.4422e+00,3.2363e-01
1.2530e+00,1.2887e+00
1.1930e+00,1.1445e+00
1.3159e+00,9.5529e-01
8.4097e-01,1.9418e+00
1.4001e+00,5.2903e-01
1.1515e+00,1.3718e+00
1.0688e+00,1.6022e+00
1.4031e+00,6.4787e-01
1.3995e+00,4.4714e-01
1.2504e+00,1.2811e+00
1.2731e+00,1.1560e+00
1.1943e+00,1.2810e+00
1.4944e+00,5.9253e-02
1.2572e+00,1.0679e+00
1.2803e+00,8.5221e-01
8.0142e-01,1.9664e+00
1.1410e+00,1.4344e+00
1.3346e+00,1.0654e+00
