# X, Y, Luminosity, Color
6.4197e+00,-1.2156e+00,1.1103e+00,1.3910e+00
-5.0958e+00,-4.8120e+00,1.0329e+00,1.6189e+00
-2.9067e+00,1.0533e+00,8.3762e-01,1.9318e+00
1.8642e+00,5.1583e-01,9.6028e-01,1.6663e+00
1.6494e+01,-1.1143e+01,1.4032e+00,4.3086e-01
6.4564e+00,-1.3773e+01,1.2064e+00,1.3050e+00
-1.3713e+00,2.9223e+00,1.4153e+00,6.8585e-01
9.3599e+00,-1.3539e+01,1.1927e+00,1.2375e+00
-5.8466e-01,2.7148e+00,1.3179e+00,1.0282e+00
1.8543e+00,-5.5250e-02,1.0584e+00,1.5201e+00
-7.4881e+00,-1.4998e+00,1.4349e+00,1.8653e-01
-1.8642e+00,1.9864e+00,1.1080e+00,1.4622e+00
-6.6731e-01,3.4974e+00,1.3624e+00,4.8617e-01
1.4753e+01,-1.0825e+01,8.6859e-01,1.8122e+00
-1.5148e+00,-1.1713e-01,1.2909e+00,1.1634e+00
-2.8258e+00,2.7081e+00,1.3207e+00,8.4045e-01
2.5011e+01,-2.4607e+00,1.0427e+00,1.4796e+00
-5.3967e-01,1.4308e+00,1.0062e+00,1.6108e+00
-5.8368e+00,-5.7704e+00,1.4863e+00,1.9492e-01
1.4465e+00,-1.2061e+01,1.2804e+00,1.2125e+00
1.9957e+01,-8.3530e+00,1.4031e+00,5.4105e-01
2.3386e-01,-1.2040e+01,1.1887e+00,1.2775e+00
4.0871e+00,-7.7812e-01,1.0474e+00,1.6441e+00
-3.5675e+00,-8.2741e+00,1.2672e+00,1.0090e+00
1.9158e-01,-1.1657e+01,1.0656e+00,1.4286e+00
2.3775e+01,-4.2193e+00,1.2333e+00,1.0490e+00
3.8175e+00,2.8964e+00,9.7432e-01,1.7429e+00
4.1373e-01,4.3986e+00,1.0888e+00,1.5034e+00
-4.4480e+00,-6.8439e+00,1.0295e+00,1.6280e+00
7.2349e+00,-1.2122e+01,1.1763e+00,1.4297e+00
-4.1278e-01,3.4630e+00,9.0180e-01,1.8370e+00
1.0369e+01,-1.2061e+01,1.4494e+00,1.6357e-01
-3.0408e+00,3.1427e-01,1.3917e+00,6.6297e-01
1.4006e+00,3.1072e+00,1.2847e+00,9.4760e-01
1.1207e+01,-1.2631e+01,1.1850e+00,1.4174e+00
-4.8297e+00,1.3252e+00,1.2483e+00,1.2227e+00
-3.8975e+00,-7.2425e+00,1.4317e+00,3.4944e-01
5.4920e+00,-1.2448e+01,1.1522e+00,1.2399e+00
-2.9328e+00,-7.9617e+00,8.9193e-01,1.8390e+00
-9.6294e-01,3.5102e+00,1.2336e+00,1.3129e+00
-4.9695e+00,-7.7311e+00,1.2851e+00,1.0568e+00
3.9484e+00,2.5872e+00,9.4682e-01,1.7870e+00
-9.1489e-01,1.4395e+00,1.2968e+00,7.4443e-01
4.5056e+00,-1.3595e+01,1.2065e+00,1.0754e+00
-4.2023e+00,-1.7171e+00,1.1384e+00,1.4697e+00
1.2613e+01,-1.1197e+01,8.6115e-01,1.8798e+00
2.6269e+00,4.7843e-01,1.1753e+00,1.2302e+00
-2.5895e+00,-1.0107e+01,1.4973e+00,1.1179e-01
-4.2516e+00,-8.8005e+00,1.4622e+00,2.9057e-01
-2.6503e+00,-1.0441e+01,1.2933e+00,7.7700e-01
-4.1711e-01,5.4809e-01,1.3205e+00,1.0550e+00
